"","depth","Fraction","X","cc_variant","Plot","OC_Frac","OC_Frac_pc","cc_variant.fal","OC_Frac.fal","OC_Frac_pc.fal","OC_ratio.pc","OC_ratio.fal"
"165","20-30 cm","2-1",297,"Mix12",37,2.02816024730554,12.2469712835728,"Fallow",2.06832931931044,10.8559438652143,98.0578976650444,101.391027418359
"166","20-30 cm","2-1",87,"Fallow",9,2.38758733077052,11.0703011104605,"Fallow",2.06832931931044,10.8559438652143,115.435550252052,100.214357245246
"167","20-30 cm","2-1",207,"Phacelia",24,2.06107869289763,11.2603363513526,"Fallow",2.06832931931044,10.8559438652143,99.6494452626515,100.404392486138
"168","20-30 cm","2-1",312,"Phacelia",38,2.18254709871891,12.9769934343766,"Fallow",2.06832931931044,10.8559438652143,105.522224064713,102.121049569162
"169","20-30 cm","4-2",131,"Phacelia",12,2.19905073375262,11.0212462498558,"Fallow",2.07244304880711,10.887222651846,106.109103216052,100.13402359801
"170","20-30 cm","4-2",236,"Mustard",26,2.24196310825474,11.5753331829369,"Fallow",2.07244304880711,10.887222651846,108.179721008266,100.688110531091
"171","20-30 cm","4-2",341,"Oat",40,1.63672311174449,12.3330437963485,"Fallow",2.07244304880711,10.887222651846,78.9755410980574,101.445821144503
"172","20-30 cm","4-2",356,"Mustard",41,1.97568367089671,12.1980151125989,"Fallow",2.07244304880711,10.887222651846,95.3311441795184,101.310792460753
"173","20-30 cm","4-2",146,"Clover",13,1.92838860579734,9.91711415901903,"Fallow",2.07244304880711,10.887222651846,93.0490517897375,99.029891507173
"174","20-30 cm","4-2",116,"Mix12",11,2.08737503139915,9.82947562030193,"Fallow",2.07244304880711,10.887222651846,100.720501468093,98.9422529684559
"175","20-30 cm","4-2",266,"Mix12",28,2.23092889334001,11.1557365781177,"Fallow",2.07244304880711,10.887222651846,107.647295525159,100.268513926272
"176","20-30 cm","4-2",161,"Oat",14,1.43367237776849,8.36457635275118,"Fallow",2.07244304880711,10.887222651846,69.1778902485986,97.4773537009052
"177","20-30 cm","4-2",251,"Mix4",27,1.33727204346009,8.01189411604885,"Fallow",2.07244304880711,10.887222651846,64.5263590828139,97.1246714642028
